Año,Mes,Aumento (%),Normativa
2010,Marzo,8.21%,Ley 26.417 (Semestral)
2010,Septiembre,16.90%,Ley 26.417 (Semestral)
2011,Marzo,17.33%,Ley 26.417 (Semestral)
2011,Septiembre,16.83%,Ley 26.417 (Semestral)
2012,Marzo,17.62%,Ley 26.417 (Semestral)
2012,Septiembre,11.42%,Ley 26.417 (Semestral)
2013,Marzo,15.18%,Ley 26.417 (Semestral)
2013,Septiembre,14.41%,Ley 26.417 (Semestral)
2014,Marzo,11.31%,Ley 26.417 (Semestral)
2014,Septiembre,17.21%,Ley 26.417 (Semestral)
2015,Marzo,18.26%,Ley 26.417 (Semestral)
2015,Septiembre,12.49%,Ley 26.417 (Semestral)
2016,Marzo,15.35%,Ley 26.417 (Semestral)
2016,Septiembre,14.16%,Ley 26.417 (Semestral)
2017,Marzo,12.96%,Ley 26.417 (Semestral)
2017,Septiembre,13.32%,Ley 26.417 (Semestral)
2018,Marzo,5.71%,Ley 27.426 (Trimestral)
2018,Junio,5.69%,Ley 27.426 (Trimestral)
2018,Septiembre,6.68%,Ley 27.426 (Trimestral)
2018,Diciembre,7.78%,Ley 27.426 (Trimestral)
2019,Marzo,11.83%,Ley 27.426 (Trimestral)
2019,Junio,10.74%,Ley 27.426 (Trimestral)
2019,Septiembre,12.22%,Ley 27.426 (Trimestral)
2019,Diciembre,8.74%,Ley 27.426 (Trimestral)
2020,Marzo,2.30% + $1500,Decretos Presidenciales (Suspensión de Ley)
2020,Junio,6.12%,Decretos Presidenciales (Suspensión de Ley)
2020,Septiembre,7.50%,Decretos Presidenciales (Suspensión de Ley)
2020,Diciembre,5.00%,Decretos Presidenciales (Suspensión de Ley)
2021,Marzo,8.07%,Ley 27.609 (Trimestral)
2021,Junio,12.12%,Ley 27.609 (Trimestral)
2021,Septiembre,12.39%,Ley 27.609 (Trimestral)
2021,Diciembre,12.11%,Ley 27.609 (Trimestral)
2022,Marzo,12.28%,Ley 27.609 (Trimestral)
2022,Junio,15.00%,Ley 27.609 (Trimestral)
2022,Septiembre,15.53%,Ley 27.609 (Trimestral)
2022,Diciembre,15.62%,Ley 27.609 (Trimestral)
2023,Marzo,17.04%,Ley 27.609 (Trimestral)
2023,Junio,20.92%,Ley 27.609 (Trimestral)
2023,Septiembre,23.29%,Ley 27.609 (Trimestral)
2023,Diciembre,20.87%,Ley 27.609 (Trimestral)
2024,Marzo,27.18%,Ley 27.609 (Último aumento bajo esta ley)
2024,Abril,27.40%,DNU 274/2024 (Mensual x IPC)
2024,Mayo,11.01%,DNU 274/2024 (Mensual x IPC)
2024,Junio,8.83%,DNU 274/2024 (Mensual x IPC)
2024,Julio,4.18%,DNU 274/2024 (Mensual x IPC)
2024,Agosto,4.58%,DNU 274/2024 (Mensual x IPC)
2024,Septiembre,4.03%,DNU 274/2024 (Mensual x IPC)
2024,Octubre,4.17%,DNU 274/2024 (Mensual x IPC)
2024,Noviembre,3.47%,DNU 274/2024 (Mensual x IPC)
2024,Diciembre,2.69%,DNU 274/2024 (Mensual x IPC)
2025,Enero,2.60%,DNU 274/2024 (Mensual x IPC)
2025,Febrero,2.50%,DNU 274/2024 (Mensual x IPC)
2025,Marzo,2.40%,DNU 274/2024 (Mensual x IPC)
2025,Abril,2.30%,DNU 274/2024 (Mensual x IPC)
2025,Mayo,2.10%,DNU 274/2024 (Mensual x IPC)
2025,Junio,2.00%,DNU 274/2024 (Mensual x IPC)
2025,Julio,1.50%,DNU 274/2024 (Mensual x IPC)
2025,Agosto,1.62%,DNU 274/2024 (Mensual x IPC)
2025,Septiembre,1.90%,DNU 274/2024 (Mensual x IPC)
2025,Octubre,1.80%,DNU 274/2024 (Mensual x IPC)
2025,Noviembre,2.10%,DNU 274/2024 (Mensual x IPC)
2025,Diciembre,2.20%,DNU 274/2024 (Mensual x IPC)
2026,Enero,2.47%,DNU 274/2024 (Mensual x IPC)
2026,Febrero,2.85%,DNU 274/2024 (Mensual x IPC)
2026,Marzo,2.88%,DNU 274/2024 (Mensual x IPC)
2026,Abril,2.90%,DNU 274/2024 (Mensual x IPC)
2026,Mayo,3.38%,DNU 274/2024 (Mensual x IPC)
